Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-,Season
22,22,2023-12-11,LAC,POR,16:11,5,7,71.429,1,2,50.000,1,2,50.000,12,10.2,0,2023-24
23,23,2023-12-12,LAC,SAC,20:01,4,8,50.000,0,1,0.000,0,0,0.000,8,5.0,12,2023-24
24,24,2023-12-14,LAC,GSW,19:19,4,7,57.143,1,2,50.000,0,0,0.000,9,7.0,7,2023-24
25,25,2023-12-16,LAC,NYK,15:06,4,7,57.143,0,1,0.000,2,4,50.000,10,12.3,2,2023-24
26,26,2023-12-18,LAC,IND,17:03,4,6,66.667,0,0,0.000,2,4,50.000,10,12.4,-2,2023-24
27,27,2023-12-20,LAC,DAL,23:16,5,9,55.556,0,2,0.000,0,0,0.000,10,8.4,15,2023-24
28,28,2023-12-21,LAC,OKC,29:42,7,12,58.333,0,2,0.000,1,1,100.000,15,11.5,-5,2023-24
29,29,2023-12-23,LAC,BOS,20:35,4,11,36.364,0,2,0.000,4,4,100.000,12,9.8,0,2023-24
30,30,2023-12-26,LAC,CHA,27:30,5,8,62.500,2,2,100.000,2,3,66.667,14,17.8,4,2023-24
31,31,2023-12-29,LAC,MEM,20:16,6,9,66.667,2,4,50.000,0,0,0.000,14,12.1,2,2023-24
32,32,2024-01-01,LAC,MIA,17:53,4,10,40.000,0,1,0.000,0,0,0.000,8,6.7,-4,2023-24
33,33,2024-01-03,LAC,PHX,18:27,2,7,28.571,0,2,0.000,2,2,100.000,6,5.2,5,2023-24
34,34,2024-01-05,LAC,NOP,21:52,3,6,50.000,1,3,33.333,1,2,50.000,8,9.0,7,2023-24
35,35,2024-01-07,LAC,LAL,19:02,3,9,33.333,1,4,25.000,0,0,0.000,7,4.9,-12,2023-24
36,36,2024-01-08,LAC,PHX,14:59,3,6,50.000,0,1,0.000,3,3,100.000,9,12.5,-3,2023-24
37,37,2024-01-10,LAC,TOR,14:20,3,9,33.333,0,1,0.000,0,0,0.000,6,3.0,-2,2023-24
38,38,2024-01-12,LAC,MEM,16:00,5,11,45.455,1,3,33.333,1,3,33.333,12,6.5,0,2023-24
39,39,2024-01-14,LAC,MIN,29:06,3,8,37.500,2,2,100.000,4,5,80.000,12,17.3,2,2023-24
40,40,2024-01-16,LAC,OKC,22:27,4,8,50.000,0,3,0.000,3,4,75.000,11,9.4,6,2023-24
41,41,2024-01-21,LAC,BKN,31:11,10,16,62.500,1,2,50.000,2,4,50.000,23,21.6,22,2023-24
42,42,2024-01-23,LAC,LAL,17:41,6,11,54.545,3,3,100.000,1,1,100.000,16,13.2,1,2023-24
43,43,2024-01-26,LAC,TOR,25:58,7,14,50.000,0,2,0.000,6,6,100.000,20,20.0,-2,2023-24
44,44,2024-01-27,LAC,BOS,15:11,2,9,22.222,0,2,0.000,0,0,0.000,4,2.6,3,2023-24
45,45,2024-01-29,LAC,CLE,22:07,5,8,62.500,0,2,0.000,3,4,75.000,13,7.9,-5,2023-24
46,46,2024-01-31,LAC,WAS,21:05,4,11,36.364,0,1,0.000,1,2,50.000,9,9.1,10,2023-24
47,47,2024-02-02,LAC,DET,25:09,10,13,76.923,2,3,66.667,1,2,50.000,23,24.3,15,2023-24
48,48,2024-02-04,LAC,MIA,15:12,2,9,22.222,1,4,25.000,0,0,0.000,5,-0.8,1,2023-24
49,49,2024-02-05,LAC,ATL,26:15,6,10,60.000,0,2,0.000,1,3,33.333,13,11.5,-3,2023-24
50,50,2024-02-07,LAC,NOP,17:46,2,7,28.571,0,2,0.000,0,0,0.000,4,1.6,-12,2023-24
51,51,2024-02-10,LAC,DET,27:30,5,10,50.000,2,4,50.000,1,2,50.000,13,9.5,10,2023-24
52,52,2024-02-12,LAC,MIN,29:00,3,11,27.273,1,5,20.000,4,5,80.000,11,7.0,-21,2023-24
53,53,2024-02-14,LAC,GSW,31:26,6,14,42.857,0,3,0.000,3,5,60.000,15,12.3,8,2023-24
54,54,2024-02-22,LAC,OKC,16:00,1,9,11.111,0,2,0.000,0,0,0.000,2,-0.9,-11,2023-24
55,55,2024-02-23,LAC,MEM,22:36,6,15,40.000,1,4,25.000,0,0,0.000,13,3.5,-2,2023-24
56,56,2024-02-25,LAC,SAC,18:16,3,10,30.000,0,2,0.000,2,2,100.000,8,4.8,10,2023-24
57,57,2024-02-28,LAC,LAL,17:23,3,9,33.333,0,2,0.000,2,2,100.000,8,6.0,3,2023-24
58,58,2024-03-01,LAC,WAS,10:23,2,3,66.667,0,0,0.000,2,2,100.000,6,5.0,8,2023-24
59,59,2024-03-25,LAC,IND,18:18,5,10,50.000,0,2,0.000,4,6,66.667,14,13.7,-2,2023-24
60,60,2024-03-27,LAC,PHI,17:00,2,8,25.000,0,1,0.000,2,2,100.000,6,3.0,-6,2023-24
61,61,2024-03-29,LAC,ORL,17:59,2,6,33.333,0,1,0.000,1,2,50.000,5,5.0,3,2023-24
62,62,2024-03-31,LAC,CHA,19:44,4,6,66.667,0,0,0.000,3,4,75.000,11,11.7,9,2023-24
63,63,2024-04-02,LAC,SAC,24:01,7,14,50.000,2,3,66.667,4,4,100.000,20,9.0,-14,2023-24
64,64,2024-04-04,LAC,DEN,23:44,4,9,44.444,0,2,0.000,4,4,100.000,12,12.3,8,2023-24
65,65,2024-04-05,LAC,UTA,21:19,8,11,72.727,1,1,100.000,0,1,0.000,17,12.6,10,2023-24
66,66,2024-04-07,LAC,CLE,25:25,3,9,33.333,0,2,0.000,2,2,100.000,8,8.9,18,2023-24
67,67,2024-04-09,LAC,PHX,39:41,7,17,41.176,2,4,50.000,0,0,0.000,16,18.5,17,2023-24
68,68,2024-04-12,LAC,UTA,9:00,2,4,50.000,0,0,0.000,0,2,0.000,4,-0.6,-2,2023-24
1,1,2024-10-24,DEN,OKC,21:15,2,10,20.000,1,6,16.667,1,4,25.000,6,4.4,-24,2024-25
2,2,2024-10-26,DEN,LAC,19:06,0,8,0.000,0,3,0.000,2,2,100.000,2,-0.8,-13,2024-25
3,3,2024-10-28,DEN,TOR,17:58,3,7,42.857,0,1,0.000,3,4,75.000,9,6.0,-1,2024-25
4,4,2024-10-29,DEN,BKN,20:34,5,12,41.667,2,2,100.000,10,10,100.000,22,18.6,0,2024-25
5,5,2024-11-01,DEN,MIN,25:20,1,8,12.500,0,3,0.000,3,4,75.000,5,3.8,-13,2024-25
